station,event1,event2,Δτl,Δτc,Δτr,Δτr2,ccl,ccc,ccr,Δτ,Δτp,cs,x1,x2,Δτ2,n1,n2
H11N3,2008-10-25T21:35:34.72,2021-02-03T06:47:02.8,"[-1.8214726326081299, -1.733130819031423]","[-1.4440604136027937, -1.4545869056162803]","[-1.0684516226354088, -1.182858068136638]","[-0.68848763129346, -0.7237144562042991]","[0.5512788184510667, 0.5353259919424218]","[0.69819530372423, 0.6454550495826585]","[0.5871883361954533, 0.40635718689883377]",-1.4440604136027937,-1.1661626210801763,2,-0.27789779252261737,0.010526492013486655,-1.4545869056162803,0.030116194698597942,0.0
H11N3,2008-11-19T21:43:01.2,2011-05-23T21:55:27.53,"[0.2861108243716673, 0.4163216411320436]","[0.6639575444608793, 0.6848746127096152]","[1.0456410146239081, 0.9575479236995287]","[1.4258765694385223, 1.2258390980037783]","[0.3833629248402376, 0.3430107136724538]","[0.6060377711749763, 0.496743145004811]","[0.5486551548942015, 0.48016305803428705]",0.6639575444608793,0.6546270448123578,2,0.009330499648521506,-0.02091706824873596,0.6848746127096152,-0.0026290806979093473,0.021563338378255303
H11N3,2008-11-19T21:43:01.2,2015-12-08T07:59:21.4,"[1.9537421791625247, 2.0976744563414775]","[2.3267169462027324, 2.372930664646166]","[2.6950391986683018, 2.6547270172246282]","[3.0510147945688804, 2.931167595985919]","[0.49053091288635725, 0.24954875468336293]","[0.641152272735735, 0.4373098939139358]","[0.5195918874994269, 0.4814098682507894]",2.6950391986683018,3.3177092628268148,3,-0.9909923166240824,-0.04621371844343347,2.6547270172246282,-0.03151155563914232,-0.014575737038043712
H11N3,2008-11-19T21:43:01.2,2016-09-04T00:15:17.01,"[-0.7759623867272193, -0.8271223316626818]","[-0.3992910250024459, -0.33257468220930547]","[-0.02295547284321772, -0.05366689663158971]","[0.34684079159751136, 0.2241600606353724]","[0.44263005138429945, 0.09856822290907612]","[0.6448630190977347, 0.3098263352873954]","[0.5966515099868609, 0.3754871591985593]",-0.02295547284321772,0.396154795574071,3,-0.7954458205765169,-0.06671634279314043,-0.05366689663158971,-0.02191429995334634,-0.0052895304675570735
H11N3,2008-11-19T21:43:01.2,2018-02-12T22:25:20.97,"[-0.6003782510862665, -0.4589299248608269]","[-0.22421396083579087, -0.17346821531010023]","[0.15144889718798957, 0.11061083426563151]","[0.5188730127359741, 0.3897732111370762]","[0.4512234383372194, 0.14883257003003672]","[0.6833698217190219, 0.34882028700109546]","[0.6238205074266626, 0.4034607944902176]",0.15144889718798957,0.5715971046859818,3,-0.7958110655217727,-0.05074574552569064,0.11061083426563151,-0.019559506281876388,0.0005882902780588728
H11N3,2008-11-19T21:43:01.2,2018-08-29T07:16:38.54,"[0.5098090924303156, 0.6370500078851764]","[0.874541296078287, 0.9098852148211012]","[1.2453676080936738, 1.1889948951843763]","[1.6155232679446052, 1.463989467299655]","[0.521364769745204, 0.3367088171431969]","[0.7065120358616046, 0.5780554139592516]","[0.6544756242823716, 0.6035255452934496]",1.2453676080936738,1.721107613912502,3,-0.8465663178342151,-0.03534391874281417,1.1889948951843763,-0.006777181039592239,-0.002286361150712457
H11N3,2009-01-14T19:09:23.34,2010-11-18T19:08:09.33,"[-1.2668872385452465, -1.1994424124049772]","[-0.9035923482071507, -0.8980700444764085]","[-0.5436343399330161, -0.5987846749998165]","[-0.20672620714621837, -0.3089119429781692]","[0.4215692693566748, 0.3698138886108016]","[0.608296730190413, 0.4168567863664637]","[0.47634088625616544, 0.34559067089478535]",-0.9035923482071507,-0.8003110821093311,2,-0.10328126609781962,-0.005522303730742251,-0.8980700444764085,0.010581072125574575,0.0021804735855238677
H11N3,2009-01-14T19:09:23.34,2011-04-16T13:36:37.69,"[-0.04727838661048119, 0.05658023192517465]","[0.3225460098506073, 0.35025535244292955]","[0.6855411659865487, 0.645072618428616]","[1.319812161718308, 1.2903111077114522]","[0.4828568820605848, 0.39816558839937877]","[0.7237784998642406, 0.5607650047140847]","[0.5344419703394986, 0.4952228516850998]",0.3225460098506073,0.36569136072536923,2,-0.043145350874761956,-0.027709342592322272,0.35025535244292955,-0.012571422573485369,0.00421598424107672
H11N3,2009-01-14T19:09:23.34,2011-05-26T06:57:34.44,"[-0.61153281679056, -0.5245905947647517]","[-0.2329108678050708, -0.23353731147662238]","[0.14073080651560138, 0.05120045401830721]","[0.500188061399016, 0.32914697569460105]","[0.42878007169244053, 0.41200826395998735]","[0.6043248448160581, 0.49008680533839266]","[0.46378457915385785, 0.3574694513504079]",-0.2329108678050708,0.08057796112192685,2,-0.31348882892699764,0.0006264436715515687,-0.23353731147662238,-0.002484270530684285,-0.006396457826600477
H11N3,2009-01-18T09:36:33.31,2012-02-01T17:01:39.75,"[-2.723519033464723, -2.611897793364296]","[-2.351566265501418, -2.348494152697359]","[-1.9766361915855697, -2.086056978779816]","[-1.618526090963602, -1.5845679239879273]","[0.4578064772245797, 0.464057234082295]","[0.6046328255074324, 0.5525407737847945]","[0.5139035746332244, 0.44435669713283793]",-1.9766361915855697,-1.354507361701101,3,-0.9970589038003168,-0.0030721128040589463,-2.086056978779816,0.008130454577585322,-0.0016174101343113811
